"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"59";"72";"Jesper";"Lundin";"M";"SWE";"OSLO";"SS3";"Menn";"5:47.40";"1:34.30";"2014-08-23T15:21:17.4960000";"Oslo";""
"60";"12";"Yngve";"Ydersbond";"M";"NOR";"OSLO";"SS3";"Menn";"5:47.50";"1:34.40";"2014-08-23T14:51:17.5960000";"OSLO";""
"61";"99";"Øyvind Ødegaard";"Osdal";"M";"NOR";"Askøy STK Sykkel";"SS3";"Menn";"6:00.30";"1:47.20";"2014-08-23T15:35:00.3170000";"Kleppestø";""
"62";"84";"Sindre";"Rasmussen";"M";"NOR";"CK Øst";"SS3";"Menn";"6:07.30";"1:54.20";"2014-08-23T15:27:37.3480000";"Fredrikstad";""
"63";"39";"Christian";"Sommer-Larsen";"M";"NOR";"Bergen MTB Klubb / Sti5";"SS3";"Menn";"7:21.40";"3:08.30";"2014-08-23T15:06:21.4400000";"ÅL";""
"64";"37";"Tarjei";"Hofset";"M";"NOR";"Ntnui";"SS3";"Menn";"8:11.90";"3:58.80";"2014-08-23T15:06:11.9380000";"TRONDHEIM";""
"65";"14";"Pål";"Neverdal";"M";"NOR";"SK Rye sykkel";"SS3";"Menn";"10:21.60";"6:08.50";"2014-08-23T14:56:51.6570000";"OSLO";""
"66";"98";"Geir";"Nummedal";"M";"NOR";"Nordmarka Æksklusife Elitesykkelforening";"SS3";"Menn";"10:32.00";"6:18.90";"2014-08-23T15:39:02.0270000";"OSLO";""
"67";"105";"Jarstø";"Karl Håkon";"M";"NOR";"";"SS3";"Menn";"11:50.30";"7:37.20";"2014-08-23T15:43:50.3470000";"";""
"68";"62";"Truls Kristian";"Syvertsen";"M";"NOR";"Drammen CK";"SS3";"Menn";"14:28.10";"10:15.00";"2014-08-23T15:24:58.1250000";"Steinberg";""
"69";"60";"Thomas";"Svendsen";"M";"NOR";"OSLO";"SS3";"Menn";"14:48.80";"10:35.70";"2014-08-23T15:24:18.8500000";"OSLO";""
"70";"34";"Geir Vidar";"Bjørndalen";"M";"NOR";"Romeriksåsen SK";"SS3";"Menn";"16:36.00";"12:22.90";"2014-08-23T15:13:06.0820000";"Gjerdrum";""
"71";"81";"Simon";"Ball";"M";"GBR";"SANDSLI";"SS3";"Menn";"20:52.50";"16:39.40";"2014-08-23T15:40:52.5620000";"SANDSLI";""
"72";"19";"Kristian";"Ertnes";"M";"NOR";"Bratt/ Sogn Terrengsykkel";"SS3";"Menn";"29:00.80";"24:47.70";"2014-08-23T15:18:00.8070000";"Sogndal";""
"1";"75";"Oscar";"Smith";"M";"NOR";"Kristiansands CK / Cube Action Team";"SS3";"Rookie gutter";"4:35.90";"0:00.00";"2014-08-23T15:21:35.9880000";"KRISTIANSAND S";""
"2";"52";"Sander";"Solvær";"M";"NOR";"Kristiansands CK / Cube Action Team";"SS3";"Rookie gutter";"5:19.40";"0:43.50";"2014-08-23T15:10:49.4140000";"KRISTIANSAND S";""
"3";"66";"Morten";"Ligård";"M";"NOR";"Kongsberg IF Sykkel";"SS3";"Rookie gutter";"16:07.00";"11:31.10";"2014-08-23T15:28:37.0480000";"Kongsberg";""
"4";"86";"Aleksander";"Østerhus";"M";"NOR";"Kristiansands CK";"SS3";"Rookie gutter";"53:00.60";"48:24.70";"2014-08-23T16:15:30.6740000";"KRISTIANSAND S";""
